Sample in Buffer,Sample in Window,TRIGGER,fircomp_bd_i/system_ila_0/inst/probe0_1[17:0],fircomp_bd_i/system_ila_0/inst/probe1_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED
0,0,0,54,-583
1,1,0,54,132
2,2,0,54,-41
3,3,0,22,678
4,4,0,22,745
5,5,0,22,-73
6,6,0,22,-5
7,7,0,22,445
8,8,0,22,510
9,9,0,22,-637
10,10,0,22,178
11,11,0,22,-330
12,12,0,22,215
13,13,0,-17,-1069
14,14,0,-17,412
15,15,0,-17,-291
16,16,0,-17,-304
17,17,0,-17,711
18,18,0,-17,-276
19,19,0,-17,-378
20,20,0,-17,686
21,21,0,-17,-4
22,22,0,-17,-9
23,23,0,-49,-582
24,24,0,-49,-79
25,25,0,-49,509
26,26,0,-49,-306
27,27,0,-49,-279
28,28,0,-49,-526
29,29,0,-49,-72
30,30,0,-49,-32
31,31,0,-49,459
32,32,0,-49,-813
33,33,0,-62,-290
34,34,0,-62,692
35,35,0,-62,683
36,36,0,-62,-549
37,37,0,-62,152
38,38,0,-62,-309
39,39,0,-62,709
40,40,0,-62,-44
41,41,0,-62,454
42,42,0,-62,-19
43,43,0,-50,422
44,44,0,-50,162
45,45,0,-50,-358
46,46,0,-50,151
47,47,0,-50,181
48,48,0,-50,472
49,49,0,-50,-267
50,50,0,-50,466
51,51,0,-50,-854
52,52,0,-50,-572
53,53,0,-19,-43
54,54,0,-19,155
55,55,0,-19,681
56,56,0,-19,474
57,57,0,-19,230
58,58,0,-19,234
59,59,0,-19,244
60,60,0,-19,-371
61,61,0,-19,749
62,62,0,-19,-289
63,63,0,19,-82
64,64,0,19,211
65,65,0,19,-104
66,66,0,19,-528
67,67,0,19,386
68,68,0,19,-841
69,69,0,19,148
70,70,0,19,-363
71,71,0,19,-17
72,72,0,19,-349
73,73,0,49,202
74,74,0,49,675
75,75,0,49,218
76,76,0,49,-528
77,77,0,49,-361
78,78,0,49,731
79,79,0,49,-782
80,80,0,49,-125
81,81,0,49,-25
82,82,0,49,445
83,83,0,59,233
84,84,0,59,-21
85,85,0,59,1208
86,86,0,59,131
87,87,0,59,-518
88,88,0,59,-527
89,89,0,59,-583
90,90,0,59,-590
91,91,0,59,141
92,92,0,59,406
93,93,0,46,252
94,94,0,46,-565
95,95,0,46,-347
96,96,0,46,-10
97,97,0,46,-118
98,98,0,46,-369
99,99,0,46,253
100,100,0,46,-323
101,101,0,46,663
102,102,0,46,201
103,103,0,15,-124
104,104,0,15,-335
105,105,0,15,-275
106,106,0,15,140
107,107,0,15,490
108,108,0,15,-594
109,109,0,15,-109
110,110,0,15,404
111,111,0,15,-268
112,112,0,15,205
113,113,0,-21,485
114,114,0,-21,-809
115,115,0,-21,-383
116,116,0,-21,-113
117,117,0,-21,-40
118,118,0,-21,-295
119,119,0,-21,-588
120,120,0,-21,182
121,121,0,-21,-13
122,122,0,-21,711
123,123,0,-48,445
124,124,0,-48,-574
125,125,0,-48,-74
126,126,0,-48,-89
127,127,0,-48,-329
128,128,0,-48,-346
129,129,0,-48,-818
130,130,0,-48,-42
131,131,0,-48,-632
132,132,0,-48,-73
133,133,0,-56,898
134,134,0,-56,-573
135,135,0,-56,251
136,136,0,-56,-65
137,137,0,-56,-576
138,138,0,-56,223
139,139,0,-56,-1039
140,140,0,-56,-127
141,141,0,-56,740
142,142,0,-56,-109
143,143,0,-42,-105
144,144,0,-42,-268
145,145,0,-42,-529
146,146,0,-42,-125
147,147,0,-42,-381
148,148,0,-42,-323
149,149,0,-42,-384
150,150,0,-42,446
151,151,0,-42,-845
152,152,0,-42,-51
153,153,0,-12,-1060
154,154,0,-12,937
155,155,0,-12,130
156,156,0,-12,-292
157,157,0,-12,709
158,158,0,-12,-520
159,159,0,-12,-8
160,160,0,-12,-295
161,161,0,-12,-848
162,162,0,-12,-280
163,163,0,23,-578
164,164,0,23,-374
165,165,0,23,-328
166,166,0,23,415
167,167,0,23,-595
168,168,0,23,-40
169,169,0,23,-16
170,170,0,23,-333
171,171,0,23,-571
172,172,0,23,-345
173,173,0,48,-106
174,174,0,48,-794
175,175,0,48,-260
176,176,0,48,507
177,177,0,48,-536
178,178,0,48,-515
179,179,0,48,-72
180,180,0,48,473
181,181,0,48,-24
182,182,0,48,453
183,183,0,54,135
184,184,0,54,202
185,185,0,54,-346
186,186,0,54,215
187,187,0,54,-797
188,188,0,54,-373
189,189,0,54,-557
190,190,0,54,744
191,191,0,54,467
192,192,0,54,640
193,193,0,38,-521
194,194,0,38,705
195,195,0,38,-39
196,196,0,38,505
